Node_ID,X,Y,Z
64,5.9999999999999,15.0,9.0
65,5.9999999999999,15.0,12.0
66,15.0,36.0,0.0
67,15.0,39.0,0.0
68,15.0,36.0,3.0
69,15.0,39.0,3.0
70,15.0,36.0,6.0
71,15.0,39.0,6.0
72,15.0,36.0,9.0
73,15.0,39.0,9.0
74,15.0,36.0,12.0
75,15.0,39.0,12.0
76,42.0,15.0,0.0
77,42.0,15.0,3.0
78,42.0,15.0,6.0
79,42.0,15.0,9.0
80,42.0,15.0,12.0
81,39.0,15.0,0.0
82,36.0,15.0,0.0
83,36.0,12.0,0.0
84,39.0,15.0,3.0
85,36.0,15.0,3.0
86,36.0,12.0,3.0
87,39.0,15.0,6.0
88,36.0,15.0,6.0
89,36.0,12.0,6.0
90,39.0,15.0,9.0
91,36.0,15.0,9.0
92,36.0,12.0,9.0
93,39.0,15.0,12.0
94,36.0,15.0,12.0
95,36.0,12.0,12.0
96,21.0,6.0,0.0
97,21.0,5.9999999999999,3.0
98,21.0,5.9999999999999,6.0
99,21.0,5.9999999999999,9.0
100,21.0,5.9999999999999,12.0
101,18.0,6.0,0.0
102,18.0,5.9999999999999,3.0
103,18.0,5.9999999999999,6.0
104,18.0,5.9999999999999,9.0
105,18.0,5.9999999999999,12.0
106,3.0,6.0,0.0
107,3.0,5.9999999999999,3.0
108,3.0,5.9999999999999,6.0
109,3.0,5.9999999999999,9.0
110,2.9999999999999,5.9999999999999,12.0
111,24.0,15.0,0.0
112,21.0,15.0,0.0
113,24.0,15.0,3.0
114,21.0,15.0,3.0
115,24.0,15.0,6.0
116,21.0,15.0,6.0
117,24.0,15.0,9.0
118,21.0,15.0,9.0
119,24.0,15.0,12.0
120,21.0,15.0,12.0
121,6.0,39.0,0.0
122,6.0,39.0,3.0
123,6.0,39.0,6.0
124,6.0,39.0,9.0
125,6.0,39.0,12.0
126,30.0,-1.42108547e-14,0.0
127,30.0,-5.38851371e-14,3.0
128,30.0,-7.40183378e-14,6.0
129,30.0,-9.41515384e-14,9.0
130,30.0,-1.14284739e-13,12.0
131,3.0,8.9999999999999,0.0
132,3.0,12.0,0.0
133,0.0,12.0,0.0
134,0.0,9.0,0.0
135,3.0,8.9999999999999,3.0
136,3.0,12.0,3.0
137,-6.9141586e-15,12.0,3.0
138,-8.01634071e-15,8.9999999999999,3.0
139,3.0,8.9999999999999,6.0
140,3.0,12.0,6.0
141,-1.75473604e-14,12.0,6.0
142,-1.88332395e-14,8.9999999999999,6.0
143,3.0,8.9999999999999,9.0
144,3.0,12.0,9.0
145,-2.81805622e-14,12.0,9.0
146,-2.96501384e-14,8.9999999999999,9.0
147,3.0,8.9999999999999,12.0
148,2.9999999999999,12.0,12.0
149,-3.8813764e-14,12.0,12.0
150,-4.04670372e-14,8.9999999999999,12.0
151,0.0,42.0,0.0
152,2.255140519e-17,45.0,0.0
153,4.107662597e-15,42.0,3.0000000000001
154,-4.32221648e-15,45.0,3.0000000000001
155,-4.68856901e-15,42.0,6.0000000000001
156,-8.66698437e-15,45.0,6.0000000000001
157,-1.34848006e-14,42.0,9.0000000000001
158,-1.30117523e-14,45.0,9.0
159,-2.22810322e-14,42.0,12.0
160,-1.73565202e-14,45.0,12.0
161,9.0,27.0,0.0
162,8.9999999999999,27.0,3.0
163,8.9999999999999,27.0,6.0
164,8.9999999999999,27.0,9.0
165,8.9999999999999,27.0,12.0
166,0.0,33.0,0.0
167,8.011162392e-16,33.0,3.0000000000001
168,-8.54620643e-15,33.0,6.0
169,-1.78935291e-14,33.0,9.0
170,-2.72408518e-14,33.0,12.0
171,45.0,3.0,0.0
172,42.0,3.0,0.0
173,45.0,3.0,3.0
174,42.0,3.0,3.0
175,45.0,3.0,6.0
176,42.0,3.0,6.0
177,45.0,3.0,9.0
178,42.0,3.0,9.0
179,45.0,3.0,12.0
180,42.0,2.9999999999999,12.0
181,30.0,3.0,0.0
182,27.0,6.0,0.0
183,30.0,2.9999999999999,3.0
184,27.0,5.9999999999999,3.0
185,30.0,2.9999999999999,6.0
186,27.0,5.9999999999999,6.0
187,30.0,2.9999999999999,9.0
188,27.0,5.9999999999999,9.0
189,30.0,2.9999999999999,12.0
190,27.0,5.9999999999999,12.0
191,3.0,33.0,0.0
192,6.0,36.0,0.0
193,3.0,33.0,3.0
194,6.0,36.0,3.0
195,3.0,33.0,6.0
196,6.0,36.0,6.0
197,3.0,33.0,9.0
198,6.0,36.0,9.0
199,3.0,33.0,12.0
200,6.0,36.0,12.0
201,15.0,27.0,0.0
202,12.0,27.0,0.0
203,15.0,27.0,3.0
204,12.0,27.0,3.0
205,15.0,27.0,6.0
206,12.0,27.0,6.0
207,15.0,27.0,9.0
208,12.0,27.0,9.0
209,15.0,27.0,12.0
210,12.0,27.0,12.0
211,6.0,5.9999999999999,0.0
212,9.0,5.9999999999999,0.0
213,6.0,5.9999999999999,3.0
214,9.0,5.9999999999999,3.0
215,6.0,5.9999999999999,6.0
216,9.0,5.9999999999999,6.0
217,6.0,5.9999999999999,9.0
